,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
32,tv show,sex education,unknown,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie",united kingdom,17-sep-21,2020,tv-ma,540,"british tv shows, international tv shows, tv comedies","insecure otis has all the answers when it comes to sex advice, thanks to his therapist mom. so rebel maeve proposes a school sex-therapy clinic."
33,tv show,squid game,unknown,"lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi",unknown,17-sep-21,2021,tv-ma,360,"international tv shows, tv dramas, tv thrillers","hundreds of cash-strapped players accept a strange invitation to compete in children's games. inside, a tempting prize awaits — with deadly high stakes."
34,tv show,tayo and little wizards,unknown,"dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim",unknown,17-sep-21,2020,tv-y7,360,kids' tv,tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
35,movie,the father who moves mountains,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",unknown,17-sep-21,2021,tv-ma,110,"dramas, international movies, thrillers","when his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
36,movie,the stronghold,cédric jimenez,"gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot",unknown,17-sep-21,2021,tv-ma,105,"action & adventure, dramas, international movies","tired of the small-time grind, three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask."
37,tv show,angry birds,unknown,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",finland,16-sep-21,2018,tv-y7,360,"kids' tv, tv comedies","birds red, chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
38,movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",16-sep-21,2017,pg-13,96,"action & adventure, dramas","a young bruce lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a shaolin master in this film based on real events."
39,tv show,chhota bheem,unknown,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,16-sep-21,2021,tv-y7,540,kids' tv,"a brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil."
40,tv show,he-man and the masters of the universe,unknown,"yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore",united states,16-sep-21,2021,tv-y7,360,"kids' tv, tv sci-fi & fantasy",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull — and their destiny to defend eternia from sinister skeletor.
41,movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",united states,16-sep-21,1975,pg,124,"action & adventure, classic movies, dramas","when an insatiable great white shark terrorizes amity island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
42,movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",united states,16-sep-21,1978,pg,116,"dramas, horror movies, thrillers","four years after the last deadly shark attacks, police chief martin brody fights to protect amity island from another killer great white."
43,movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",united states,16-sep-21,1983,pg,98,"action & adventure, horror movies, thrillers","after the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
44,movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,16-sep-21,1987,pg-13,91,"action & adventure, horror movies, thrillers","after another deadly shark attack, ellen brody has had enough of amity island and moves to the caribbean – but a great white shark follows her there."
45,movie,my heroes were cowboys,tyler greco,unknown,unknown,16-sep-21,2021,pg,23,documentaries,"robin wiltshire's painful childhood was rescued by westerns. now he lives on the frontier of his dreams, training the horses he loves for the big screen."
46,movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",16-sep-21,2012,r,115,action & adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
47,tv show,the smart money woman,bunmi ajakaiye,"osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",unknown,16-sep-21,2020,tv-ma,360,"international tv shows, romantic tv shows, tv comedies","five glamorous millennials strive for success as they juggle careers, finances, love and friendships. based on arese ugwu's 2016 best-selling novel."
48,movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,16-sep-21,2001,r,122,"dramas, thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor's questionable brand of justice.
49,tv show,castle and castle,unknown,"richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,15-sep-21,2021,tv-ma,180,"international tv shows, tv dramas","a pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
50,tv show,dharmakshetra,unknown,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",india,15-sep-21,2014,tv-pg,360,"international tv shows, tv dramas, tv sci-fi & fantasy","after the ancient great war, the god chitragupta oversees a trial to determine who were the battle's true heroes and villains."
51,movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,15-sep-21,2002,tv-14,99,"action & adventure, anime features, international movies","with their biggest foe seemingly defeated, inuyasha and his friends return to everyday life. but the peace is soon shattered by an emerging new enemy."
52,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,15-sep-21,2003,tv-14,99,"action & adventure, anime features, international movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons. now the evil power of the third sword has been awakened.
53,movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,15-sep-21,2004,tv-pg,88,"action & adventure, anime features, international movies","ai, a young half-demon who has escaped from horai island to try to help her people, returns with potential saviors inuyasha, sesshomaru and kikyo."
54,movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,15-sep-21,2001,tv-pg,100,"action & adventure, anime features, international movies","a powerful demon has been sealed away for 200 years. but when the demon's son is awakened, the fate of the world is in jeopardy."
55,tv show,nailed it,unknown,"nicole byer, jacques torres",united states,15-sep-21,2021,tv-pg,1080,reality tv,"home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. it's part reality contest, part hot mess."
56,movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,15-sep-21,2011,tv-14,102,"action & adventure, anime features, international movies","mistakenly accused of an attack on the fourth raikage, ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed."
57,movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,15-sep-21,2008,tv-pg,93,"action & adventure, anime features, international movies","when strange ninjas ambush the village of konohagakure, it's up to adolescent ninja naruto and his long-missing pal, sasuke, to save the planet."
58,movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,15-sep-21,2009,tv-pg,96,"action & adventure, anime features, international movies","when four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
59,movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,15-sep-21,2007,tv-pg,95,"action & adventure, anime features, international movies","the adventures of adolescent ninja naruto uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
60,movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,15-sep-21,2010,tv-14,85,"action & adventure, anime features, international movies","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
61,movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,15-sep-21,2005,tv-pg,97,"action & adventure, anime features, international movies","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin."
62,movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,15-sep-21,2006,tv-pg,95,"action & adventure, anime features, international movies","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom."
63,movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,15-sep-21,2004,tv-pg,83,"action & adventure, anime features, international movies","naruto, sasuke and sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
64,movie,nightbooks,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",unknown,15-sep-21,2021,tv-pg,103,children & family movies,scary story fan alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
65,tv show,numberblocks,unknown,"beth chalmers, david holt, marcel mccalla, teresa gallagher",united kingdom,15-sep-21,2021,tv-y,1080,kids' tv,"in a place called numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
66,tv show,raja rasoi aur anya kahaniyan,unknown,unknown,india,15-sep-21,2014,tv-g,360,"docuseries, international tv shows","explore the history and flavors of regional indian cuisine, from traditional kashmiri feasts to the vegetarian dishes of gujarat."
67,tv show,saved by the bell,unknown,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",united states,15-sep-21,1994,tv-pg,1620,"kids' tv, tv comedies","from middle school to college, best friends zack, kelly, slater, jessie, screech and lisa take on the highs and lows of life together in this hit series."
68,movie,schumacher,"hanns-bruno kammertöns, vanessa nöcker, michael wech",michael schumacher,unknown,15-sep-21,2021,tv-14,113,"documentaries, international movies, sports movies","through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time formula 1 champion michael schumacher."
69,tv show,stories by rabindranath tagore,unknown,unknown,india,15-sep-21,2015,tv-pg,360,"international tv shows, tv dramas",the writings of nobel prize winner rabindranath tagore come to life in this collection of tales set in early-20th-century bengal.
70,tv show,too hot to handle: latino,unknown,itatí cantoral,unknown,15-sep-21,2021,tv-ma,360,"international tv shows, reality tv, romantic tv shows","on this reality show, singles from latin america and spain are challenged to give up sex. but here, abstinence comes with a silver lining: us$100,000."
71,movie,a storybots space adventure,david a. vargas,"evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux",unknown,14-sep-21,2021,tv-y,13,children & family movies,join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids' questions about space.
72,tv show,jack whitehall: travels with my father,unknown,"jack whitehall, michael whitehall",united kingdom,14-sep-21,2021,tv-ma,900,"british tv shows, docuseries, international tv shows","jovial comic jack whitehall invites his stuffy father, michael, to travel with him through southeast asia in an attempt to strengthen their bond."
73,movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,14-sep-21,2018,tv-ma,182,"dramas, international movies","when a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
74,tv show,the world's most amazing vacation rentals,unknown,unknown,unknown,14-sep-21,2021,tv-pg,180,reality tv,"with an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
75,movie,you vs. wild: out cold,ben simms,"bear grylls, jason derek prempeh",unknown,14-sep-21,2021,tv-g,106,children & family movies,"after a plane crash leaves bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
76,tv show,yowamushi pedal,unknown,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",japan,14-sep-21,2013,tv-14,360,"anime series, international tv shows","a timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
77,movie,little singham - black shadow,prakash satam,"sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey",unknown,11-sep-21,2021,tv-y7,48,"children & family movies, comedies",kid cop little singham loses all his superpowers while trying to stop the demon kaal’s new evil plans! can his inner strength help him defeat the enemy?
78,movie,tughlaq durbar,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",unknown,11-sep-21,2020,tv-14,145,"comedies, dramas, international movies",a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
79,movie,tughlaq durbar (telugu),delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",unknown,11-sep-21,2021,tv-14,145,"comedies, dramas, international movies",a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
80,movie,firedrake the silver dragon,tomer eshed,"thomas brodie-sangster, felicity jones, freddie highmore, patrick stewart, meera syal, sanjeev bhaskar, nonso anozie",unknown,10-sep-21,2021,tv-y7,93,children & family movies,"when his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
81,movie,kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,10-sep-21,2021,r,106,action & adventure,"slipped a fatal poison on her final job, a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
82,tv show,lucifer,unknown,"tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley-ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis",united states,10-sep-21,2021,tv-14,1080,"crime tv shows, tv comedies, tv dramas","bored with being the lord of hell, the devil relocates to los angeles, where he opens a nightclub and forms a connection with a homicide detective."
83,tv show,metal shop masters,unknown,jo koy,unknown,10-sep-21,2021,tv-ma,360,reality tv,"on this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. only one will win a $50,000 prize."
